n,sigma(n),Prime Factorization,diff,Valid (d1, d2) Combinations
30,72,"2^1 * 3^1 * 5^1",12,"+10 +2; +2 +10"
66,144,"2^1 * 3^1 * 11^1",12,"+1 +11; +11 +1"
84,224,"2^2 * 3^1 * 7^1",56,"+14 +42; +42 +14"
90,234,"2^1 * 3^2 * 5^1",54,"+45 +9; +9 +45"
126,312,"2^1 * 3^2 * 7^1",60,"+18 +42; +42 +18"
132,336,"2^2 * 3^1 * 11^1",72,"+6 +66; +66 +6"
156,392,"2^2 * 3^1 * 13^1",80,"+2 +78; +78 +2"
180,546,"2^2 * 3^2 * 5^1",186,"+180 +6; +6 +180"
198,468,"2^1 * 3^2 * 11^1",72,"+6 +66; +66 +6"
220,504,"2^2 * 5^1 * 11^1",64,"+20 +44; +44 +20"
240,744,"2^4 * 3^1 * 5^1",264,"+24 +240; +240 +24"
270,720,"2^1 * 3^3 * 5^1",180,"+135 +45; +45 +135"
280,720,"2^3 * 5^1 * 7^1",160,"+140 +20; +20 +140"
360,1170,"2^3 * 3^2 * 5^1",450,"+360 +90; +90 +360"
364,784,"2^2 * 7^1 * 13^1",56,"+4 +52; +52 +4"
380,840,"2^2 * 5^1 * 19^1",80,"+4 +76; +76 +4"
540,1680,"2^2 * 3^3 * 5^1",600,"+540 +60; +60 +540"
550,1116,"2^1 * 5^2 * 11^1",16,"+11 +5; +5 +11"
594,1440,"2^1 * 3^3 * 11^1",252,"+198 +54; +54 +198"
600,1860,"2^3 * 3^1 * 5^2",660,"+60 +600; +600 +60"
882,2223,"2^1 * 3^2 * 7^2",459,"+18 +441; +441 +18"
918,2160,"2^1 * 3^3 * 17^1",324,"+18 +306; +306 +18"
1026,2400,"2^1 * 3^3 * 19^1",348,"+342 +6; +6 +342"
1040,2604,"2^4 * 5^1 * 13^1",524,"+4 +520; +520 +4"
1080,3600,"2^3 * 3^3 * 5^1",1440,"+1080 +360; +360 +1080"
1120,3024,"2^5 * 5^1 * 7^1",784,"+224 +560; +560 +224"
1344,4064,"2^6 * 3^1 * 7^1",1376,"+1344 +32; +32 +1344"
1488,3968,"2^4 * 3^1 * 31^1",992,"+248 +744; +744 +248"
1782,4356,"2^1 * 3^4 * 11^1",792,"+198 +594; +594 +198"
1872,5642,"2^4 * 3^2 * 13^1",1898,"+1872 +26; +26 +1872"
1976,4200,"2^3 * 13^1 * 19^1",248,"+1 +247; +247 +1"
2016,6552,"2^5 * 3^2 * 7^1",2520,"+2016 +504; +504 +2016"
2024,4320,"2^3 * 11^1 * 23^1",272,"+184 +88; +88 +184"
