n,sigma(n),2n,diff,Valid (d1, d2) Combinations
30,72,60,12,"+10 +2; +2 +10; +6 +6"
66,144,132,12,"+1 +11; +11 +1; +6 +6"
84,224,168,56,"+14 +42; +28 +28; +42 +14"
132,336,264,72,"+6 +66; +66 +6"
156,392,312,80,"+2 +78; +78 +2"
220,504,440,64,"+20 +44; +44 +20"
240,744,480,264,"+24 +240; +240 +24"
280,720,560,160,"+140 +20; +20 +140"
364,784,728,56,"+28 +28; +4 +52; +52 +4"
380,840,760,80,"+4 +76; +76 +4"
1040,2604,2080,524,"+4 +520; +520 +4"
1120,3024,2240,784,"+224 +560; +560 +224"
1344,4064,2688,1376,"+1344 +32; +32 +1344"
1488,3968,2976,992,"+248 +744; +496 +496; +744 +248"
1976,4200,3952,248,"+1 +247; +247 +1"
2024,4320,4048,272,"+184 +88; +88 +184"
2688,8160,5376,2784,"+2688 +96; +96 +2688"
2720,6804,5440,1364,"+1360 +4; +4 +1360"
3472,7936,6944,992,"+124 +868; +496 +496; +868 +124"
3784,7920,7568,352,"+344 +8; +8 +344"
5376,16352,10752,5600,"+224 +5376; +5376 +224"
5512,11340,11024,316,"+104 +212; +212 +104"
5624,11400,11248,152,"+148 +4; +4 +148; +76 +76"
6080,15240,12160,3080,"+3040 +40; +40 +3040"
6832,15376,13664,1712,"+1708 +4; +4 +1708"
8024,16200,16048,152,"+118 +34; +34 +118"
8216,16800,16432,368,"+316 +52; +52 +316"
9112,18360,18224,136,"+134 +2; +2 +134; +68 +68"
10504,21420,21008,412,"+404 +8; +8 +404"
10712,21840,21424,416,"+4 +412; +412 +4"
10880,27540,21760,5780,"+340 +5440; +5440 +340"
13192,26460,26384,76,"+68 +8; +8 +68"
17296,35712,34592,1120,"+368 +752; +752 +368"
21344,45360,42688,2672,"+2668 +4; +4 +2668"
22496,47880,44992,2888,"+2812 +76; +76 +2812"
24016,49600,48032,1568,"+1264 +304; +304 +1264"
24384,65024,48768,16256,"+12192 +4064; +4064 +12192; +8128 +8128"
30256,61504,60512,992,"+16 +976; +496 +496; +976 +16"
43216,87172,86432,740,"+148 +592; +592 +148"
45904,94240,91808,2432,"+16 +2416; +2416 +16"
47616,130944,95232,35712,"+11904 +23808; +23808 +11904"
49136,98952,98272,680,"+16 +664; +664 +16"
56896,130048,113792,16256,"+14224 +2032; +2032 +14224; +8128 +8128"
57392,118296,114784,3512,"+136 +3376; +3376 +136"
57424,115444,114848,596,"+4 +592; +592 +4"
60976,122512,121952,560,"+148 +412; +412 +148"
63632,127596,127264,332,"+328 +4; +4 +328"
72896,155448,145792,9656,"+544 +9112; +9112 +544"
73712,151776,147424,4352,"+16 +4336; +4336 +16"
74128,148428,148256,172,"+164 +8; +8 +164"
75344,155124,150688,4436,"+4 +4432; +4432 +4"
96496,193192,192992,200,"+163 +37; +37 +163"
96928,206388,193856,12532,"+12116 +416; +416 +12116"
108112,217620,216224,1396,"+464 +932; +932 +464"
114256,228532,228512,20,"+16 +4; +4 +16"
117760,294768,235520,59248,"+368 +58880; +58880 +368"
130816,302512,261632,40880,"+32704 +8176; +8176 +32704"
140192,298116,280384,17732,"+17524 +208; +208 +17524"
154496,330480,308992,21488,"+19312 +2176; +2176 +19312"
161824,343980,323648,20332,"+104 +20228; +20228 +104"
161936,325500,323872,1628,"+1396 +232; +232 +1396"
172864,357124,345728,11396,"+10804 +592; +592 +10804"
180128,382788,360256,22532,"+16 +22516; +22516 +16"
182624,388080,365248,22832,"+22828 +4; +4 +22828"
212048,425940,424096,1844,"+16 +1828; +1828 +16"
213904,429660,427808,1852,"+1844 +8; +8 +1844"
214832,431520,429664,1856,"+1852 +4; +4 +1852"
224128,477360,448256,29104,"+1088 +28016; +28016 +1088"
229408,462672,458816,3856,"+1712 +2144; +2144 +1712"
236384,476280,472768,3512,"+2848 +664; +664 +2848"
251968,520192,503936,16256,"+15748 +508; +508 +15748; +8128 +8128"
256736,517104,513472,3632,"+16 +3616; +3616 +16"
261088,529200,522176,7024,"+6368 +656; +656 +6368"
269824,589248,539648,49600,"+15872 +33728; +33728 +15872"
276352,587520,552704,34816,"+272 +34544; +34544 +272"
285056,605880,570112,35768,"+136 +35632; +35632 +136"
345056,698544,690112,8432,"+16 +8416; +8416 +16"
347936,698544,695872,2672,"+16 +2656; +2656 +16"
396896,796320,793792,2528,"+1264 +1264; +16 +2512; +2512 +16"
418144,839160,836288,2872,"+2864 +8; +8 +2864"
449248,899640,898496,1144,"+1112 +32; +32 +1112"
456928,914760,913856,904,"+32 +872; +872 +32"
460288,982080,920576,61504,"+3968 +57536; +57536 +3968"
464224,929880,928448,1432,"+1424 +8; +8 +1424"
491536,984064,983072,992,"+1 +991; +496 +496; +991 +1"
561824,1123668,1123648,20,"+16 +4; +4 +16"
618848,1238328,1237696,632,"+166 +466; +466 +166"
638432,1279152,1276864,2288,"+16 +2272; +2272 +16"
642976,1288224,1285952,2272,"+1136 +1136; +2264 +8; +8 +2264"
691456,1436932,1382912,54020,"+10804 +43216; +43216 +10804"
715712,1453896,1431424,22472,"+106 +22366; +22366 +106"
815264,1631700,1630528,1172,"+1168 +4; +4 +1168"
859744,1722168,1719488,2680,"+2144 +536; +536 +2144"
956512,1914192,1913024,1168,"+1136 +32; +32 +1136"
1106944,2358144,2213888,144256,"+138368 +5888; +5888 +138368"
1248256,2652912,2496512,156400,"+156032 +368; +368 +156032"
1338592,2683800,2677184,6616,"+5672 +944; +944 +5672"
1561376,3129840,3122752,7088,"+472 +6616; +6616 +472"
1769056,3545640,3538112,7528,"+32 +7496; +7496 +32"
1776608,3560760,3553216,7544,"+16 +7528; +7528 +16"
1907104,3820068,3814208,5860,"+1952 +3908; +3908 +1952"
1940992,4124736,3881984,242752,"+128 +242624; +242624 +128"
1991776,3984120,3983552,568,"+32 +536; +536 +32"
2129728,4279392,4259456,19936,"+19904 +32; +32 +19904"
2256832,4526280,4513664,12616,"+12608 +8; +8 +12608"
2274784,4549608,4549568,40,"+32 +8; +8 +32"
2329024,4671568,4658048,13520,"+3856 +9664; +9664 +3856"
2448128,4991448,4896256,95192,"+18688 +76504; +76504 +18688"
2480704,4992624,4961408,31216,"+1328 +29888; +29888 +1328"
2500544,5029200,5001088,28112,"+16 +28096; +28096 +16"
2646208,5303520,5292416,11104,"+11072 +32; +32 +11072"
3145024,6300724,6290048,10676,"+10048 +628; +628 +10048"
3190336,6421120,6380672,40448,"+40384 +64; +64 +40384"
3335968,6679260,6671936,7324,"+488 +6836; +6836 +488"
3512896,7040880,7025792,15088,"+6704 +8384; +8384 +6704"
3532096,7068820,7064192,4628,"+3664 +964; +964 +3664"
3574112,7155792,7148224,7568,"+244 +7324; +7324 +244"
3804448,7616700,7608896,7804,"+7796 +8; +8 +7796"
3808352,7624512,7616704,7808,"+4 +7804; +7804 +4"
3845056,7743952,7690112,53840,"+1168 +52672; +52672 +1168"
3875264,7760208,7750528,9680,"+16 +9664; +9664 +16"
3903296,7863840,7806592,57248,"+2272 +54976; +54976 +2272"
4110016,8229600,8220032,9568,"+32 +9536; +9536 +32"
4149056,8298180,8298112,68,"+4 +64; +64 +4"
4242176,8621592,8484352,137240,"+132568 +4672; +4672 +132568"
4607296,9214612,9214592,20,"+16 +4; +4 +16"
4661056,9395968,9322112,73856,"+4288 +69568; +69568 +4288"
4690688,9529128,9381376,147752,"+1168 +146584; +146584 +1168"
4802816,9756012,9605632,150380,"+150088 +292; +292 +150088"
5143808,10448928,10287616,161312,"+160744 +568; +568 +160744"
5451584,10936224,10903168,33056,"+26464 +6592; +6592 +26464"
5725504,11462004,11451008,10996,"+10448 +548; +548 +10448"
6112576,12230100,12225152,4948,"+2384 +2564; +2564 +2384"
6574144,13157200,13148288,8912,"+16 +8896; +8896 +16"
6774464,13551408,13548928,2480,"+2416 +64; +64 +2416"
7198528,14406372,14397056,9316,"+548 +8768; +8768 +548"
7733696,15468600,15467392,1208,"+1192 +16; +16 +1192"
7864576,16221184,15729152,492032,"+491536 +496; +496 +491536"
8102656,16711744,16205312,506432,"+16 +506416; +506416 +16"
